
permutación 01234, P_n = 0
permutación 10372456, P_n = 5
permutación 10372465, P_n = 6
permutación 10372546, P_n = 7
permutación 10372564, P_n = 7
permutación 10372645, P_n = 7
permutación 10372654, P_n = 6
permutación 10374256, P_n = 6
permutación 10374265, P_n = 7
permutación 10374526, P_n = 7
permutación 10374562, P_n = 5
permutación 10374625, P_n = 7
permutación 10374652, P_n = 6
permutación 10375246, P_n = 7
permutación 10375264, P_n = 8
permutación 10375426, P_n = 6
permutación 10375462, P_n = 6
permutación 10375624, P_n = 7
permutación 10375642, P_n = 7
permutación 10376245, P_n = 6
permutación 10376254, P_n = 6
permutación 10376425, P_n = 6
permutación 10376452, P_n = 5
permutación 10376524, P_n = 6
permutación 10376542, P_n = 4
permutación 10423567, P_n = 3
permutación 10423576, P_n = 6
permutación 10423657, P_n = 5
permutación 10423675, P_n = 5
permutación 10423756, P_n = 5
permutación 10423765, P_n = 6
permutación 10425367, P_n = 5
permutación 10425376, P_n = 7
permutación 10425637, P_n = 5
permutación 10425673, P_n = 5
permutación 10425736, P_n = 7
permutación 10425763, P_n = 6
permutación 10426357, P_n = 6
permutación 10426375, P_n = 7
permutación 10426537, P_n = 6
permutación 10426573, P_n = 7
permutación 10426735, P_n = 7
permutación 10426753, P_n = 7
permutación 10427356, P_n = 6
permutación 10427365, P_n = 7
permutación 10427536, P_n = 7
permutación 10427563, P_n = 7
permutación 10427635, P_n = 6
permutación 10427653, P_n = 6
permutación 10432567, P_n = 4
permutación 10432576, P_n = 7
permutación 10432657, P_n = 6
permutación 10432675, P_n = 6
permutación 10432756, P_n = 6
permutación 10432765, P_n = 6
permutación 10435267, P_n = 5
permutación 10435276, P_n = 7
permutación 10435627, P_n = 5
permutación 10435672, P_n = 5
permutación 10435726, P_n = 7
permutación 10435762, P_n = 6
permutación 10436257, P_n = 6
permutación 10436275, P_n = 7
permutación 10436527, P_n = 6
permutación 10436572, P_n = 7
permutación 10436725, P_n = 6
permutación 10436752, P_n = 7
permutación 10437256, P_n = 6
permutación 10437265, P_n = 6
permutación 10437526, P_n = 7
permutación 10437562, P_n = 7
permutación 10437625, P_n = 6
permutación 10437652, P_n = 6
permutación 10452367, P_n = 3
permutación 10452376, P_n = 5
permutación 10452637, P_n = 5
permutación 10452673, P_n = 5
permutación 10452736, P_n = 6
permutación 10452763, P_n = 6
permutación 10453267, P_n = 4
permutación 10453276, P_n = 6
permutación 10453627, P_n = 5
permutación 10453672, P_n = 5
permutación 10453726, P_n = 7
permutación 10453762, P_n = 6
permutación 10456237, P_n = 3
permutación 10456273, P_n = 5
permutación 10456327, P_n = 4
permutación 10456372, P_n = 5
permutación 10456723, P_n = 3
permutación 10456732, P_n = 4
permutación 10457236, P_n = 5
permutación 10457263, P_n = 6
permutación 10457326, P_n = 6
permutación 10457362, P_n = 6
permutación 10457623, P_n = 4
permutación 10457632, P_n = 5
permutación 10462357, P_n = 5
permutación 10462375, P_n = 6
permutación 10462537, P_n = 6
permutación 10462573, P_n = 7
permutación 10462735, P_n = 7
permutación 10462753, P_n = 7
permutación 10463257, P_n = 6
permutación 10463275, P_n = 7
permutación 10463527, P_n = 6
permutación 10463572, P_n = 7
permutación 10463725, P_n = 7
permutación 10463752, P_n = 7
permutación 10465237, P_n = 4
permutación 10465273, P_n = 6
permutación 10465327, P_n = 5
permutación 10465372, P_n = 6
permutación 10465723, P_n = 6
permutación 10465732, P_n = 7
permutación 10467235, P_n = 5
permutación 10467253, P_n = 6
permutación 10467325, P_n = 6
permutación 10467352, P_n = 7
permutación 10467523, P_n = 5
permutación 10467532, P_n = 6
permutación 10472356, P_n = 5
permutación 10472365, P_n = 6
permutación 10472536, P_n = 7
permutación 10472563, P_n = 7
permutación 10472635, P_n = 7
permutación 10472653, P_n = 6
permutación 10473256, P_n = 6
permutación 10473265, P_n = 6
permutación 10473526, P_n = 7
permutación 10473562, P_n = 7
permutación 10473625, P_n = 8
permutación 10473652, P_n = 6
permutación 10475236, P_n = 6
permutación 10475263, P_n = 7
permutación 10475326, P_n = 7
permutación 10475362, P_n = 7
permutación 10475623, P_n = 5
permutación 10475632, P_n = 6
permutación 10476235, P_n = 6
permutación 10476253, P_n = 6
permutación 10476325, P_n = 6
permutación 10476352, P_n = 6
permutación 10476523, P_n = 4
permutación 10476532, P_n = 5
permutación 10523467, P_n = 3
permutación 10523476, P_n = 5
permutación 10523647, P_n = 5
permutación 10523674, P_n = 5
permutación 10523746, P_n = 6
permutación 10523764, P_n = 6
permutación 10524367, P_n = 4
permutación 10524376, P_n = 6
permutación 10524637, P_n = 6
permutación 10524673, P_n = 6
permutación 10524736, P_n = 7
permutación 10524763, P_n = 7
permutación 10526347, P_n = 5
permutación 10526374, P_n = 7
permutación 10526437, P_n = 6
permutación 10526473, P_n = 7
permutación 10526734, P_n = 5
permutación 10526743, P_n = 6
permutación 10527346, P_n = 7
permutación 10527364, P_n = 7
permutación 10527436, P_n = 6
permutación 10527463, P_n = 8
permutación 10527634, P_n = 6
permutación 10527643, P_n = 6
permutación 10532467, P_n = 5
permutación 10532476, P_n = 7
permutación 10532647, P_n = 6
permutación 10532674, P_n = 6
permutación 10532746, P_n = 7
permutación 10532764, P_n = 6
permutación 10534267, P_n = 5
permutación 10534276, P_n = 7
permutación 10534627, P_n = 5
permutación 10534672, P_n = 5
permutación 10534726, P_n = 7
permutación 10534762, P_n = 6
permutación 10536247, P_n = 6
permutación 10536274, P_n = 7
permutación 10536427, P_n = 6
permutación 10536472, P_n = 7
permutación 10536724, P_n = 6
permutación 10536742, P_n = 7
permutación 10537246, P_n = 7
permutación 10537264, P_n = 8
permutación 10537426, P_n = 8
permutación 10537462, P_n = 7
permutación 10537624, P_n = 6
permutación 10537642, P_n = 6
permutación 10542367, P_n = 4
permutación 10542376, P_n = 6
permutación 10542637, P_n = 6
permutación 10542673, P_n = 6
permutación 10542736, P_n = 7
permutación 10542763, P_n = 6
permutación 10543267, P_n = 4
permutación 10543276, P_n = 6
permutación 10543627, P_n = 6
permutación 10543672, P_n = 6
permutación 10543726, P_n = 6
permutación 10543762, P_n = 6
permutación 10546237, P_n = 5
permutación 10546273, P_n = 7
permutación 10546327, P_n = 6
permutación 10546372, P_n = 7
permutación 10546723, P_n = 5
permutación 10546732, P_n = 6
permutación 10547236, P_n = 6
permutación 10547263, P_n = 7
permutación 10547326, P_n = 7
permutación 10547362, P_n = 7
permutación 10547623, P_n = 6
permutación 10547632, P_n = 6
permutación 10562347, P_n = 3
permutación 10562374, P_n = 5
permutación 10562437, P_n = 4
permutación 10562473, P_n = 6
permutación 10562734, P_n = 5
permutación 10562743, P_n = 6
permutación 10563247, P_n = 5
permutación 10563274, P_n = 6
permutación 10563427, P_n = 5
permutación 10563472, P_n = 5
permutación 10563724, P_n = 6
permutación 10563742, P_n = 6
permutación 10564237, P_n = 5
permutación 10564273, P_n = 7
permutación 10564327, P_n = 4
permutación 10564372, P_n = 6
permutación 10564723, P_n = 5
permutación 10564732, P_n = 6
permutación 10567234, P_n = 3
permutación 10567243, P_n = 4
permutación 10567324, P_n = 5
permutación 10567342, P_n = 5
permutación 10567423, P_n = 5
permutación 10567432, P_n = 4
permutación 10572346, P_n = 5
permutación 10572364, P_n = 6
permutación 10572436, P_n = 6
permutación 10572463, P_n = 7
permutación 10572634, P_n = 6
permutación 10572643, P_n = 6
permutación 10573246, P_n = 7
permutación 10573264, P_n = 7
permutación 10573426, P_n = 7
permutación 10573462, P_n = 7
permutación 10573624, P_n = 7
permutación 10573642, P_n = 8
permutación 10574236, P_n = 7
permutación 10574263, P_n = 8
permutación 10574326, P_n = 6
permutación 10574362, P_n = 6
permutación 10574623, P_n = 6
permutación 10574632, P_n = 7
permutación 10576234, P_n = 4
permutación 10576243, P_n = 5
permutación 10576324, P_n = 6
permutación 10576342, P_n = 6
permutación 10576423, P_n = 6
permutación 10576432, P_n = 5
permutación 10623457, P_n = 3
permutación 10623475, P_n = 5
permutación 10623547, P_n = 4
permutación 10623574, P_n = 6
permutación 10623745, P_n = 5
permutación 10623754, P_n = 6
permutación 10624357, P_n = 6
permutación 10624375, P_n = 6
permutación 10624537, P_n = 5
permutación 10624573, P_n = 7
permutación 10624735, P_n = 7
permutación 10624753, P_n = 7
permutación 10625347, P_n = 5
permutación 10625374, P_n = 7
permutación 10625437, P_n = 4
permutación 10625473, P_n = 6
permutación 10625734, P_n = 7
permutación 10625743, P_n = 6
permutación 10627345, P_n = 5
permutación 10627354, P_n = 6
permutación 10627435, P_n = 7
permutación 10627453, P_n = 7
permutación 10627534, P_n = 7
permutación 10627543, P_n = 6
permutación 10632457, P_n = 5
permutación 10632475, P_n = 7
permutación 10632547, P_n = 6
permutación 10632574, P_n = 7
permutación 10632745, P_n = 6
permutación 10632754, P_n = 6
permutación 10634257, P_n = 5
permutación 10634275, P_n = 7
permutación 10634527, P_n = 5
permutación 10634572, P_n = 5
permutación 10634725, P_n = 7
permutación 10634752, P_n = 6
permutación 10635247, P_n = 6
permutación 10635274, P_n = 8
permutación 10635427, P_n = 6
permutación 10635472, P_n = 6
permutación 10635724, P_n = 7
permutación 10635742, P_n = 7
permutación 10637245, P_n = 6
permutación 10637254, P_n = 6
permutación 10637425, P_n = 7
permutación 10637452, P_n = 7
permutación 10637524, P_n = 8
permutación 10637542, P_n = 6
permutación 10642357, P_n = 5
permutación 10642375, P_n = 7
permutación 10642537, P_n = 6
permutación 10642573, P_n = 7
permutación 10642735, P_n = 7
permutación 10642753, P_n = 8
permutación 10643257, P_n = 6
permutación 10643275, P_n = 6
permutación 10643527, P_n = 6
permutación 10643572, P_n = 7
permutación 10643725, P_n = 6
permutación 10643752, P_n = 7
permutación 10645237, P_n = 5
permutación 10645273, P_n = 7
permutación 10645327, P_n = 5
permutación 10645372, P_n = 7
permutación 10645723, P_n = 5
permutación 10645732, P_n = 6
permutación 10647235, P_n = 6
permutación 10647253, P_n = 7
permutación 10647325, P_n = 7
permutación 10647352, P_n = 8
permutación 10647523, P_n = 6
permutación 10647532, P_n = 7
permutación 10652347, P_n = 4
permutación 10652374, P_n = 6
permutación 10652437, P_n = 5
permutación 10652473, P_n = 7
permutación 10652734, P_n = 6
permutación 10652743, P_n = 6
permutación 10653247, P_n = 6
permutación 10653274, P_n = 7
permutación 10653427, P_n = 5
permutación 10653472, P_n = 6
permutación 10653724, P_n = 7
permutación 10653742, P_n = 7
permutación 10654237, P_n = 4
permutación 10654273, P_n = 6
permutación 10654327, P_n = 4
permutación 10654372, P_n = 6
permutación 10654723, P_n = 6
permutación 10654732, P_n = 6
permutación 10657234, P_n = 5
permutación 10657243, P_n = 6
permutación 10657324, P_n = 7
permutación 10657342, P_n = 7
permutación 10657423, P_n = 6
permutación 10657432, P_n = 6
permutación 10672345, P_n = 3
permutación 10672354, P_n = 4
permutación 10672435, P_n = 6
permutación 10672453, P_n = 5
permutación 10672534, P_n = 5
permutación 10672543, P_n = 4
permutación 10673245, P_n = 5
permutación 10673254, P_n = 6
permutación 10673425, P_n = 5
permutación 10673452, P_n = 5
permutación 10673524, P_n = 6
permutación 10673542, P_n = 6
permutación 10674235, P_n = 5
permutación 10674253, P_n = 6
permutación 10674325, P_n = 6
permutación 10674352, P_n = 6
permutación 10674523, P_n = 5
permutación 10674532, P_n = 5
permutación 10675234, P_n = 5
permutación 10675243, P_n = 6
permutación 10675324, P_n = 6
permutación 10675342, P_n = 6
permutación 10675423, P_n = 5
permutación 10675432, P_n = 4
permutación 10723456, P_n = 3
permutación 10723465, P_n = 4
permutación 10723546, P_n = 6
permutación 10723564, P_n = 5
permutación 10723645, P_n = 5
permutación 10723654, P_n = 4
permutación 10724356, P_n = 6
permutación 10724365, P_n = 6
permutación 10724536, P_n = 6
permutación 10724563, P_n = 5
permutación 10724635, P_n = 7
permutación 10724653, P_n = 6
permutación 10725346, P_n = 6
permutación 10725364, P_n = 7
permutación 10725436, P_n = 6
permutación 10725463, P_n = 6
permutación 10725634, P_n = 6
permutación 10725643, P_n = 5
permutación 10726345, P_n = 5
permutación 10726354, P_n = 6
permutación 10726435, P_n = 6
permutación 10726453, P_n = 7
permutación 10726534, P_n = 5
permutación 10726543, P_n = 4
permutación 10732456, P_n = 5
permutación 10732465, P_n = 6
permutación 10732546, P_n = 7
permutación 10732564, P_n = 7
permutación 10732645, P_n = 7
permutación 10732654, P_n = 6
permutación 10734256, P_n = 5
permutación 10734265, P_n = 6
permutación 10734526, P_n = 5
permutación 10734562, P_n = 5
permutación 10734625, P_n = 6
permutación 10734652, P_n = 6
permutación 10735246, P_n = 7
permutación 10735264, P_n = 7
permutación 10735426, P_n = 6
permutación 10735462, P_n = 8
permutación 10735624, P_n = 7
permutación 10735642, P_n = 7
permutación 10736245, P_n = 7
permutación 10736254, P_n = 6
permutación 10736425, P_n = 7
permutación 10736452, P_n = 7
permutación 10736524, P_n = 6
permutación 10736542, P_n = 6
permutación 10742356, P_n = 5
permutación 10742365, P_n = 6
permutación 10742536, P_n = 7
permutación 10742563, P_n = 7
permutación 10742635, P_n = 7
permutación 10742653, P_n = 6
permutación 10743256, P_n = 6
permutación 10743265, P_n = 6
permutación 10743526, P_n = 7
permutación 10743562, P_n = 6
permutación 10743625, P_n = 7
permutación 10743652, P_n = 6
permutación 10745236, P_n = 5
permutación 10745263, P_n = 7
permutación 10745326, P_n = 6
permutación 10745362, P_n = 7
permutación 10745623, P_n = 5
permutación 10745632, P_n = 5
permutación 10746235, P_n = 6
permutación 10746253, P_n = 8
permutación 10746325, P_n = 7
permutación 10746352, P_n = 8
permutación 10746523, P_n = 6
permutación 10746532, P_n = 6
permutación 10752346, P_n = 5
permutación 10752364, P_n = 6
permutación 10752436, P_n = 6
permutación 10752463, P_n = 7
permutación 10752634, P_n = 7
permutación 10752643, P_n = 6
permutación 10753246, P_n = 7
permutación 10753264, P_n = 7
permutación 10753426, P_n = 7
permutación 10753462, P_n = 7
permutación 10753624, P_n = 8
permutación 10753642, P_n = 8
permutación 10754236, P_n = 6
permutación 10754263, P_n = 6
permutación 10754326, P_n = 6
permutación 10754362, P_n = 6
permutación 10754623, P_n = 6
permutación 10754632, P_n = 6
permutación 10756234, P_n = 5
permutación 10756243, P_n = 6
permutación 10756324, P_n = 7
permutación 10756342, P_n = 7
permutación 10756423, P_n = 6
permutación 10756432, P_n = 5
permutación 10762345, P_n = 4
permutación 10762354, P_n = 5
permutación 10762435, P_n = 7
permutación 10762453, P_n = 6
permutación 10762534, P_n = 6
permutación 10762543, P_n = 5
permutación 10763245, P_n = 6
permutación 10763254, P_n = 6
permutación 10763425, P_n = 6
permutación 10763452, P_n = 5
permutación 10763524, P_n = 7
permutación 10763542, P_n = 6
permutación 10764235, P_n = 6
permutación 10764253, P_n = 7
permutación 10764325, P_n = 6
permutación 10764352, P_n = 6
permutación 10764523, P_n = 5
permutación 10764532, P_n = 6
permutación 10765234, P_n = 4
permutación 10765243, P_n = 5
permutación 10765324, P_n = 6
permutación 10765342, P_n = 5
permutación 10765423, P_n = 4
permutación 10765432, P_n = 4
permutación 12034567, P_n = 2
permutación 12034576, P_n = 5
permutación 12034657, P_n = 5
permutación 12034675, P_n = 6
permutación 12034756, P_n = 6
permutación 12034765, P_n = 5
permutación 12035467, P_n = 5
permutación 12035476, P_n = 7
permutación 12035647, P_n = 6
permutación 12035674, P_n = 6
permutación 12035746, P_n = 8
permutación 12035764, P_n = 7
permutación 12036457, P_n = 6
permutación 12036475, P_n = 8
permutación 12036547, P_n = 5
permutación 12036574, P_n = 7
